,Population,Magnitude,Depth,Distance_from_the_epicenter,Secondary effects,Architechture,destructiveness,City
63,Populated ,49,420,6938,No,Good,Low,Buford
64,Unpopulated,38,188,8417,yes,Good,Low,Buford
65,Populated ,60,679,9374,No,Good,Low,Buford
66,Unpopulated,38,159,737,No,Bad,Low,Buford
67,Populated ,77,311,4343,No,Good,High,Buford
68,Unpopulated,63,43,8312,No,Bad,Low,Buford
69,Populated,55,661,7247,No,Good,Low,Philadelphia
70,Unpopulated,65,348,1437,No,Bad,Low,Buford
71,Populated,64,414,4090,No,Bad,Low,Philadelphia
72,Populated ,33,334,6227,No,Good ,Low,Buford
73,Unpopulated,75,259,3924,No,Bad,High,Buford
74,Populated ,51,426,7409,No,Good,Low,Buford
75,Populated ,34,316,3769,Yes,Good,Low,Buford
76,Unpopulated,31,175,1688,No,Good,Low,Buford
77,Populated ,53,184,1993,yes,Good,Low,Buford
78,Unpopulated,51,641,1414,No,Bad,Low,Buford
79,Populated ,40,11,4643,No,Good,Low,Buford
80,Unpopulated,78,600,2409,No,Bad,High,Buford
81,Populated,62,51,8729,No,Good,Low,Philadelphia
82,Unpopulated,30,187,8174,No,Bad,Low,Buford
83,Populated,75,342,3712,No,Bad,High,Philadelphia
84,Populated ,80,43,693,No,Good ,High,Buford
85,Unpopulated,30,567,6485,No,Bad,Low,Buford
86,Populated ,33,400,9471,No,Good,Low,Buford
87,Populated ,66,425,258,No,Good,Low,Buford
88,Unpopulated,50,430,7878,Yes,Good,Low,Buford
89,Populated ,54,355,6290,No,Good,Low,Buford
90,Unpopulated,36,44,291,yes,Bad,Low,Buford
91,Populated ,37,484,6271,No,Good,Low,Buford
92,Unpopulated,65,286,8617,No,Bad,Low,Buford
93,Populated,65,519,8192,No,Good,Low,Philadelphia
94,Unpopulated,35,664,38,No,Bad,Low,Buford
95,Populated,67,488,10,No,Bad,Low,Philadelphia
96,Populated ,57,639,4535,No,Good ,Low,Buford
97,Unpopulated,56,521,1780,No,Bad,Low,Buford
98,Populated ,30,532,1284,No,Good,Low,Buford
99,Populated ,56,678,5472,No,Good,Low,Buford
100,Unpopulated,80,680,8662,No,Good,High,Buford
101,Populated ,75,115,3812,Yes,Good,High,Buford
102,Unpopulated,76,265,3652,No,Bad,High,Buford
103,Populated ,53,153,4951,yes,Good,Low,Buford
104,Unpopulated,69,364,6825,No,Bad,High,Buford
105,Populated,41,494,2745,No,Good,Low,Philadelphia
106,Unpopulated,53,354,7427,No,Bad,Low,Buford
107,Populated,79,177,4568,No,Bad,High,Philadelphia
108,Populated ,57,452,3814,No,Good ,Low,Buford
109,Unpopulated,69,14,7930,No,Bad,High,Buford
110,Populated ,31,513,9296,No,Good,Low,Buford
111,Populated ,47,637,8700,No,Good,Low,Buford
112,Unpopulated,43,52,5758,No,Good,Low,Buford
113,Populated ,72,686,6182,No,Good,High,Buford
114,Unpopulated,74,377,5324,Yes,Bad,High,Buford
115,Populated ,41,62,9997,No,Good,Low,Buford
116,Unpopulated,68,536,3685,yes,Bad,Low,Buford
117,Populated,48,198,6681,No,Good,Low,Philadelphia
118,Unpopulated,37,244,7702,No,Bad,Low,Buford
119,Populated,36,271,1027,No,Bad,Low,Philadelphia
120,Populated ,49,225,3615,No,Good ,Low,Buford
121,Unpopulated,47,476,8085,No,Bad,Low,Buford
122,Populated ,38,241,9918,No,Good,Low,Buford
123,Populated ,75,315,2719,No,Good,High,Buford
124,Unpopulated,60,255,8848,No,Good,Low,Buford
125,Populated ,63,596,1703,No,Good,Low,Buford
126,Unpopulated,71,254,9947,No,Bad,High,Buford
127,Populated ,64,174,4919,Yes,Good,Low,Buford
128,Unpopulated,73,547,6754,No,Bad,High,Buford
129,Populated,46,524,3896,yes,Good,Low,Philadelphia
130,Unpopulated,63,164,631,No,Bad,Low,Buford
131,Populated,43,175,3645,No,Bad,Low,Philadelphia
132,Populated ,51,149,5179,No,Good ,Low,Buford
133,Unpopulated,63,227,2516,No,Bad,Low,Buford
134,Populated ,69,63,6807,No,Good,High,Buford
135,Populated ,46,675,8178,No,Good,Low,Buford
136,Unpopulated,70,194,2932,No,Good,High,Buford
137,Populated ,62,520,8144,No,Good,Low,Buford
138,Unpopulated,68,494,2588,No,Bad,Low,Buford
139,Populated ,42,134,739,No,Good,Low,Buford
140,Unpopulated,31,411,6902,Yes,Bad,Low,Buford
141,Populated,80,674,8501,No,Good,High,Philadelphia
142,Unpopulated,59,143,5416,yes,Bad,Low,Buford
143,Populated,33,698,4598,No,Bad,Low,Philadelphia
144,Populated ,80,152,8178,No,Good ,High,Buford
145,Unpopulated,32,145,8296,No,Bad,Low,Buford
146,Populated ,31,465,5759,No,Good,Low,Buford
147,Populated ,68,16,1085,No,Good,Low,Buford
148,Unpopulated,75,543,4713,No,Good,High,Buford
149,Populated ,44,528,5697,No,Good,Low,Buford
150,Unpopulated,73,608,1601,No,Bad,High,Buford
151,Populated ,42,269,545,No,Good,Low,Buford
152,Unpopulated,50,697,2428,No,Bad,Low,Buford
153,Populated,48,63,1878,Yes,Good,Low,Philadelphia
154,Unpopulated,36,450,779,No,Bad,Low,Buford
155,Populated,59,521,7121,yes,Bad,Low,Philadelphia
156,Populated ,80,691,4146,No,Good ,High,Buford
157,Unpopulated,38,352,5413,No,Bad,Low,Buford
158,Populated ,76,306,7996,No,Good,High,Buford
159,Populated ,33,636,6516,No,Good,Low,Buford
160,Unpopulated,31,552,2662,No,Good,Low,Buford
161,Populated ,54,611,4707,No,Good,Low,Buford
162,Unpopulated,43,224,8138,No,Bad,Low,Buford
163,Populated ,36,389,4622,No,Good,Low,Buford
164,Unpopulated,64,671,9158,No,Bad,Low,Buford
165,Populated,34,36,1859,No,Good,Low,Philadelphia
166,Unpopulated,35,325,6901,Yes,Bad,Low,Buford
167,Populated,55,485,667,No,Bad,Low,Philadelphia
168,Populated ,77,627,5985,yes,Good ,High,Buford
169,Unpopulated,41,579,9072,No,Bad,Low,Buford
170,Populated ,74,506,1158,No,Good,High,Buford
171,Populated ,48,557,828,No,Good,Low,Buford
172,Unpopulated,69,185,5532,No,Good,High,Buford
173,Populated ,49,333,6343,No,Good,Low,Buford
174,Unpopulated,34,147,9613,No,Bad,Low,Buford
175,Populated ,42,680,2945,No,Good,Low,Buford
176,Unpopulated,71,72,4847,No,Bad,High,Buford
177,Populated,36,71,1037,No,Good,Low,Philadelphia
178,Unpopulated,54,338,900,No,Bad,Low,Buford
179,Populated,80,90,2282,Yes,Bad,High,Philadelphia
180,Populated ,46,358,340,No,Good ,Low,Buford
181,Unpopulated,36,371,7270,yes,Bad,Low,Buford
182,Populated ,65,236,8885,No,Good,Low,Buford
183,Populated ,68,263,8442,No,Good,Low,Buford
184,Unpopulated,57,61,2372,No,Good,Low,Buford
185,Populated ,57,674,3302,No,Good,Low,Buford
186,Unpopulated,49,559,8583,No,Bad,Low,Buford
187,Populated ,64,260,7887,No,Good,Low,Buford
188,Unpopulated,44,315,8349,No,Bad,Low,Buford
189,Populated,78,267,9813,No,Good,High,Philadelphia
190,Unpopulated,58,57,1342,No,Bad,Low,Buford
191,Populated,79,520,6497,No,Bad,High,Philadelphia
192,Populated ,73,577,9347,Yes,Good ,High,Buford
193,Unpopulated,33,484,7781,No,Bad,Low,Buford
194,Populated ,40,174,7715,yes,Good,Low,Buford
195,Populated ,61,8,6409,No,Good,Low,Buford
196,Unpopulated,41,600,5072,No,Good,Low,Buford
197,Populated ,53,60,3393,No,Good,Low,Buford
198,Unpopulated,44,548,6087,No,Bad,Low,Buford
199,Populated ,70,427,3681,No,Good ,High,Buford
200,Unpopulated,31,515,5233,No,Bad,Low,Buford
201,Populated ,58,565,2099,No,Good,Low,Buford
202,Populated ,68,340,8626,No,Good,Low,Buford
203,Unpopulated,67,210,6387,No,Good,Low,Buford
204,Populated ,35,284,2126,No,Good,Low,Buford
205,Unpopulated,75,98,211,No,Bad,High,Buford
206,Populated ,64,237,9295,No,Good,Low,Buford
207,Unpopulated,37,218,9194,No,Bad,Low,Buford
208,Populated,70,650,6063,No,Good,High,Philadelphia
209,Unpopulated,58,198,615,Yes,Bad,Low,Buford
210,Populated,80,171,7722,No,Bad,High,Philadelphia
211,Populated ,36,324,6365,yes,Good ,Low,Buford
212,Unpopulated,80,387,2526,No,Bad,High,Buford
213,Populated ,62,662,7849,No,Good,Low,Buford
214,Populated ,39,589,5360,No,Good,Low,Buford
215,Unpopulated,53,567,8058,No,Good,Low,Buford
216,Populated ,32,574,37,No,Good,Low,Buford
217,Unpopulated,42,84,3774,No,Bad,Low,Buford
218,Populated ,31,698,5842,No,Good,Low,Buford
219,Unpopulated,57,689,8692,No,Bad,Low,Buford
220,Populated,49,608,4827,No,Good,Low,Philadelphia
221,Unpopulated,38,512,7858,No,Bad,Low,Buford
222,Populated,67,18,23,Yes,Bad,Low,Philadelphia
223,Populated ,30,499,5267,No,Good ,Low,Buford
224,Unpopulated,30,410,6614,yes,Bad,Low,Buford
225,Populated ,57,699,7789,No,Good,Low,Buford
226,Populated ,44,345,9475,No,Good,Low,Buford
227,Unpopulated,33,637,3895,No,Good,Low,Buford
228,Populated ,35,332,6512,No,Good,Low,Buford
229,Unpopulated,33,60,7218,No,Bad,Low,Buford
230,Populated ,50,107,9856,No,Good,Low,Buford
231,Unpopulated,73,359,1346,No,Bad,High,Buford
232,Populated,63,516,751,No,Good,Low,Philadelphia
233,Unpopulated,36,443,7647,No,Bad,Low,Buford
234,Populated,67,594,9833,No,Bad,Low,Philadelphia
235,Populated ,45,620,7898,Yes,Good ,Low,Buford
236,Unpopulated,33,10,5897,No,Bad,Low,Buford
237,Populated ,52,38,5437,yes,Good,Low,Buford
238,Populated ,43,310,1038,No,Good,Low,Buford
239,Unpopulated,42,526,3572,No,Good,Low,Buford
240,Populated ,79,195,3859,No,Good,High,Buford
241,Unpopulated,54,34,8049,No,Bad,Low,Buford
242,Populated ,69,90,8772,No,Good,High,Buford
243,Unpopulated,39,60,3385,No,Bad,Low,Buford
244,Populated,41,552,9992,No,Good,Low,Philadelphia
245,Unpopulated,58,567,1891,No,Bad,Low,Buford
246,Populated,80,87,508,No,Bad,High,Philadelphia
247,Populated ,69,580,280,No,Good ,High,Buford
248,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
249,Populated ,51,223,559,No,Good,Low,Buford
250,Populated ,64,415,9551,yes,Good,Low,Buford
251,Unpopulated,30,148,7248,No,Good,Low,Buford
252,Populated ,36,429,5972,No,Good,Low,Buford
253,Unpopulated,56,64,9202,No,Bad,Low,Buford
254,Populated ,55,30,3894,No,Good,Low,Buford
255,Unpopulated,60,432,2793,No,Bad,Low,Buford
256,Populated,77,205,4113,No,Good,High,Philadelphia
257,Unpopulated,41,486,7861,No,Bad,Low,Buford
258,Populated,66,117,4364,No,Bad,Low,Philadelphia
259,Populated ,58,631,5966,No,Good ,Low,Buford
260,Unpopulated,60,607,5097,No,Bad,Low,Buford
261,Populated ,54,456,5161,Yes,Good,Low,Buford
262,Populated ,49,420,6938,No,Good,Low,Buford
263,Unpopulated,38,188,8417,yes,Good,Low,Buford
264,Populated ,60,679,9374,No,Good,Low,Buford
265,Unpopulated,38,159,737,No,Bad,Low,Buford
266,Populated ,77,311,4343,No,Good,High,Buford
267,Unpopulated,63,43,8312,No,Bad,Low,Buford
268,Populated,55,661,7247,No,Good,Low,Philadelphia
269,Unpopulated,65,348,1437,No,Bad,Low,Buford
270,Populated,64,414,4090,No,Bad,Low,Philadelphia
271,Populated ,33,334,6227,No,Good ,Low,Buford
272,Unpopulated,75,259,3924,No,Bad,High,Buford
273,Populated ,51,426,7409,No,Good,Low,Buford
274,Populated ,34,316,3769,Yes,Good,Low,Buford
275,Unpopulated,31,175,1688,No,Good,Low,Buford
276,Populated ,53,184,1993,yes,Good,Low,Buford
277,Unpopulated,51,641,1414,No,Bad,Low,Buford
278,Populated ,40,11,4643,No,Good,Low,Buford
279,Unpopulated,78,600,2409,No,Bad,High,Buford
280,Populated,62,51,8729,No,Good,Low,Philadelphia
281,Unpopulated,30,187,8174,No,Bad,Low,Buford
282,Populated,75,342,3712,No,Bad,High,Philadelphia
283,Populated ,80,43,693,No,Good ,High,Buford
284,Unpopulated,30,567,6485,No,Bad,Low,Buford
285,Populated ,33,400,9471,No,Good,Low,Buford
286,Populated ,66,425,258,No,Good,Low,Buford
287,Unpopulated,50,430,7878,Yes,Good,Low,Buford
288,Populated ,54,355,6290,No,Good,Low,Buford
289,Unpopulated,36,44,291,yes,Bad,Low,Buford
290,Populated ,37,484,6271,No,Good,Low,Buford
291,Unpopulated,65,286,8617,No,Bad,Low,Buford
292,Populated,65,519,8192,No,Good,Low,Philadelphia
293,Unpopulated,35,664,38,No,Bad,Low,Buford
294,Populated,67,488,10,No,Bad,Low,Philadelphia
295,Populated ,57,639,4535,No,Good ,Low,Buford
296,Unpopulated,56,521,1780,No,Bad,Low,Buford
297,Populated ,30,532,1284,No,Good,Low,Buford
298,Populated ,56,678,5472,No,Good,Low,Buford
299,Unpopulated,80,680,8662,No,Good,High,Buford
300,Populated ,75,115,3812,Yes,Good,High,Buford
301,Unpopulated,76,265,3652,No,Bad,High,Buford
302,Populated ,53,153,4951,yes,Good,Low,Buford
303,Unpopulated,69,364,6825,No,Bad,High,Buford
304,Populated,41,494,2745,No,Good,Low,Philadelphia
305,Unpopulated,53,354,7427,No,Bad,Low,Buford
306,Populated,79,177,4568,No,Bad,High,Philadelphia
307,Populated ,57,452,3814,No,Good ,Low,Buford
308,Unpopulated,69,14,7930,No,Bad,High,Buford
309,Populated ,31,513,9296,No,Good,Low,Buford
310,Populated ,47,637,8700,No,Good,Low,Buford
311,Unpopulated,43,52,5758,No,Good,Low,Buford
312,Populated ,72,686,6182,No,Good,High,Buford
313,Unpopulated,74,377,5324,Yes,Bad,High,Buford
314,Populated ,41,62,9997,No,Good,Low,Buford
315,Unpopulated,68,536,3685,yes,Bad,Low,Buford
316,Populated,48,198,6681,No,Good,Low,Philadelphia
317,Unpopulated,37,244,7702,No,Bad,Low,Buford
318,Populated,36,271,1027,No,Bad,Low,Philadelphia
319,Populated ,49,225,3615,No,Good ,Low,Buford
320,Unpopulated,47,476,8085,No,Bad,Low,Buford
321,Populated ,38,241,9918,No,Good,Low,Buford
322,Populated ,75,315,2719,No,Good,High,Buford
323,Unpopulated,60,255,8848,No,Good,Low,Buford
324,Populated ,63,596,1703,No,Good,Low,Buford
325,Unpopulated,71,254,9947,No,Bad,High,Buford
326,Populated ,64,174,4919,Yes,Good,Low,Buford
327,Unpopulated,73,547,6754,No,Bad,High,Buford
328,Populated,46,524,3896,yes,Good,Low,Philadelphia
329,Unpopulated,63,164,631,No,Bad,Low,Buford
330,Populated,43,175,3645,No,Bad,Low,Philadelphia
331,Populated ,51,149,5179,No,Good ,Low,Buford
332,Unpopulated,63,227,2516,No,Bad,Low,Buford
333,Populated ,69,63,6807,No,Good,High,Buford
334,Populated ,46,675,8178,No,Good,Low,Buford
335,Unpopulated,70,194,2932,No,Good,High,Buford
336,Populated ,62,520,8144,No,Good,Low,Buford
337,Unpopulated,68,494,2588,No,Bad,Low,Buford
338,Populated ,42,134,739,No,Good,Low,Buford
339,Unpopulated,31,411,6902,Yes,Bad,Low,Buford
340,Populated,80,674,8501,No,Good,High,Philadelphia
341,Unpopulated,59,143,5416,yes,Bad,Low,Buford
342,Populated,33,698,4598,No,Bad,Low,Philadelphia
343,Populated ,80,152,8178,No,Good ,High,Buford
344,Unpopulated,32,145,8296,No,Bad,Low,Buford
345,Populated ,31,465,5759,No,Good,Low,Buford
346,Populated ,68,16,1085,No,Good,Low,Buford
347,Unpopulated,75,543,4713,No,Good,High,Buford
348,Populated ,44,528,5697,No,Good,Low,Buford
349,Unpopulated,73,608,1601,No,Bad,High,Buford
350,Populated ,42,269,545,No,Good,Low,Buford
351,Unpopulated,50,697,2428,No,Bad,Low,Buford
352,Populated,48,63,1878,Yes,Good,Low,Philadelphia
353,Unpopulated,36,450,779,No,Bad,Low,Buford
354,Populated,59,521,7121,yes,Bad,Low,Philadelphia
355,Populated ,80,691,4146,No,Good ,High,Buford
356,Unpopulated,38,352,5413,No,Bad,Low,Buford
357,Populated ,76,306,7996,No,Good,High,Buford
358,Populated ,33,636,6516,No,Good,Low,Buford
359,Unpopulated,31,552,2662,No,Good,Low,Buford
360,Populated ,54,611,4707,No,Good,Low,Buford
361,Unpopulated,43,224,8138,No,Bad,Low,Buford
362,Populated ,36,389,4622,No,Good,Low,Buford
363,Unpopulated,64,671,9158,No,Bad,Low,Buford
364,Populated,34,36,1859,No,Good,Low,Philadelphia
365,Unpopulated,35,325,6901,Yes,Bad,Low,Buford
366,Populated,55,485,667,No,Bad,Low,Philadelphia
367,Populated ,77,627,5985,yes,Good ,High,Buford
368,Unpopulated,41,579,9072,No,Bad,Low,Buford
369,Populated ,74,506,1158,No,Good,High,Buford
370,Populated ,48,557,828,No,Good,Low,Buford
371,Unpopulated,69,185,5532,No,Good,High,Buford
372,Populated ,49,333,6343,No,Good,Low,Buford
373,Unpopulated,34,147,9613,No,Bad,Low,Buford
374,Populated ,42,680,2945,No,Good,Low,Buford
375,Unpopulated,71,72,4847,No,Bad,High,Buford
376,Populated,36,71,1037,No,Good,Low,Philadelphia
377,Unpopulated,54,338,900,No,Bad,Low,Buford
378,Populated,80,90,2282,Yes,Bad,High,Philadelphia
379,Populated ,46,358,340,No,Good ,Low,Buford
380,Unpopulated,36,371,7270,yes,Bad,Low,Buford
381,Populated ,65,236,8885,No,Good,Low,Buford
382,Populated ,68,263,8442,No,Good,Low,Buford
383,Unpopulated,57,61,2372,No,Good,Low,Buford
384,Populated ,57,674,3302,No,Good,Low,Buford
385,Unpopulated,49,559,8583,No,Bad,Low,Buford
386,Populated ,64,260,7887,No,Good,Low,Buford
387,Unpopulated,44,315,8349,No,Bad,Low,Buford
388,Populated,78,267,9813,No,Good,High,Philadelphia
389,Unpopulated,58,57,1342,No,Bad,Low,Buford
390,Populated,79,520,6497,No,Bad,High,Philadelphia
391,Populated ,73,577,9347,Yes,Good ,High,Buford
392,Unpopulated,33,484,7781,No,Bad,Low,Buford
393,Populated ,40,174,7715,yes,Good,Low,Buford
394,Populated ,61,8,6409,No,Good,Low,Buford
395,Unpopulated,41,600,5072,No,Good,Low,Buford
396,Populated ,53,60,3393,No,Good,Low,Buford
397,Unpopulated,44,548,6087,No,Bad,Low,Buford
398,Populated ,70,427,3681,No,Good ,High,Buford
399,Unpopulated,31,515,5233,No,Bad,Low,Buford
400,Populated ,58,565,2099,No,Good,Low,Buford
401,Populated ,68,340,8626,No,Good,Low,Buford
402,Unpopulated,67,210,6387,No,Good,Low,Buford
403,Populated ,35,284,2126,No,Good,Low,Buford
404,Unpopulated,75,98,211,No,Bad,High,Buford
405,Populated ,64,237,9295,No,Good,Low,Buford
406,Unpopulated,37,218,9194,No,Bad,Low,Buford
407,Populated,70,650,6063,No,Good,High,Philadelphia
408,Unpopulated,58,198,615,Yes,Bad,Low,Buford
409,Populated,80,171,7722,No,Bad,High,Philadelphia
410,Populated ,36,324,6365,yes,Good ,Low,Buford
411,Unpopulated,80,387,2526,No,Bad,High,Buford
412,Populated ,62,662,7849,No,Good,Low,Buford
413,Populated ,39,589,5360,No,Good,Low,Buford
414,Unpopulated,53,567,8058,No,Good,Low,Buford
415,Populated ,32,574,37,No,Good,Low,Buford
416,Unpopulated,42,84,3774,No,Bad,Low,Buford
417,Populated ,31,698,5842,No,Good,Low,Buford
418,Unpopulated,57,689,8692,No,Bad,Low,Buford
419,Populated,49,608,4827,No,Good,Low,Philadelphia
420,Unpopulated,38,512,7858,No,Bad,Low,Buford
421,Populated,67,18,23,Yes,Bad,Low,Philadelphia
422,Populated ,30,499,5267,No,Good ,Low,Buford
423,Unpopulated,30,410,6614,yes,Bad,Low,Buford
424,Populated ,57,699,7789,No,Good,Low,Buford
425,Populated ,44,345,9475,No,Good,Low,Buford
426,Unpopulated,33,637,3895,No,Good,Low,Buford
427,Populated ,35,332,6512,No,Good,Low,Buford
428,Unpopulated,33,60,7218,No,Bad,Low,Buford
429,Populated ,50,107,9856,No,Good,Low,Buford
430,Unpopulated,73,359,1346,No,Bad,High,Buford
431,Populated,63,516,751,No,Good,Low,Philadelphia
432,Unpopulated,36,443,7647,No,Bad,Low,Buford
433,Populated,67,594,9833,No,Bad,Low,Philadelphia
434,Populated ,45,620,7898,Yes,Good ,Low,Buford
435,Unpopulated,33,10,5897,No,Bad,Low,Buford
436,Populated ,52,38,5437,yes,Good,Low,Buford
437,Populated ,43,310,1038,No,Good,Low,Buford
438,Unpopulated,42,526,3572,No,Good,Low,Buford
439,Populated ,79,195,3859,No,Good,High,Buford
440,Unpopulated,54,34,8049,No,Bad,Low,Buford
441,Populated ,69,90,8772,No,Good,High,Buford
442,Unpopulated,39,60,3385,No,Bad,Low,Buford
443,Populated,41,552,9992,No,Good,Low,Philadelphia
444,Unpopulated,58,567,1891,No,Bad,Low,Buford
445,Populated,80,87,508,No,Bad,High,Philadelphia
446,Populated ,69,580,280,No,Good ,High,Buford
447,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
448,Populated ,51,223,559,No,Good,Low,Buford
449,Populated ,64,415,9551,yes,Good,Low,Buford
450,Unpopulated,30,148,7248,No,Good,Low,Buford
451,Populated ,36,429,5972,No,Good,Low,Buford
452,Unpopulated,56,64,9202,No,Bad,Low,Buford
453,Populated ,55,30,3894,No,Good,Low,Buford
454,Unpopulated,60,432,2793,No,Bad,Low,Buford
455,Populated,77,205,4113,No,Good,High,Philadelphia
456,Unpopulated,41,486,7861,No,Bad,Low,Buford
457,Populated,66,117,4364,No,Bad,Low,Philadelphia
458,Populated ,58,631,5966,No,Good ,Low,Buford
459,Unpopulated,60,607,5097,No,Bad,Low,Buford
460,Populated ,54,456,5161,Yes,Good,Low,Buford
461,Populated ,49,420,6938,No,Good,Low,Buford
462,Unpopulated,38,188,8417,yes,Good,Low,Buford
463,Populated ,60,679,9374,No,Good,Low,Buford
464,Unpopulated,38,159,737,No,Bad,Low,Buford
465,Populated ,77,311,4343,No,Good,High,Buford
466,Unpopulated,63,43,8312,No,Bad,Low,Buford
467,Populated,55,661,7247,No,Good,Low,Philadelphia
468,Unpopulated,65,348,1437,No,Bad,Low,Buford
469,Populated,64,414,4090,No,Bad,Low,Philadelphia
470,Populated ,33,334,6227,No,Good ,Low,Buford
471,Unpopulated,75,259,3924,No,Bad,High,Buford
472,Populated ,51,426,7409,No,Good,Low,Buford
473,Populated ,34,316,3769,Yes,Good,Low,Buford
474,Unpopulated,31,175,1688,No,Good,Low,Buford
475,Populated ,53,184,1993,yes,Good,Low,Buford
476,Unpopulated,51,641,1414,No,Bad,Low,Buford
477,Populated ,40,11,4643,No,Good,Low,Buford
478,Unpopulated,78,600,2409,No,Bad,High,Buford
479,Populated,62,51,8729,No,Good,Low,Philadelphia
480,Unpopulated,30,187,8174,No,Bad,Low,Buford
481,Populated,75,342,3712,No,Bad,High,Philadelphia
482,Populated ,80,43,693,No,Good ,High,Buford
483,Unpopulated,30,567,6485,No,Bad,Low,Buford
484,Populated ,33,400,9471,No,Good,Low,Buford
485,Populated ,66,425,258,No,Good,Low,Buford
486,Unpopulated,50,430,7878,Yes,Good,Low,Buford
487,Populated ,54,355,6290,No,Good,Low,Buford
488,Unpopulated,36,44,291,yes,Bad,Low,Buford
489,Populated ,37,484,6271,No,Good,Low,Buford
490,Unpopulated,65,286,8617,No,Bad,Low,Buford
491,Populated,65,519,8192,No,Good,Low,Philadelphia
492,Unpopulated,35,664,38,No,Bad,Low,Buford
493,Populated,67,488,10,No,Bad,Low,Philadelphia
494,Populated ,57,639,4535,No,Good ,Low,Buford
495,Unpopulated,56,521,1780,No,Bad,Low,Buford
496,Populated ,30,532,1284,No,Good,Low,Buford
497,Populated ,56,678,5472,No,Good,Low,Buford
498,Unpopulated,80,680,8662,No,Good,High,Buford
499,Populated ,75,115,3812,Yes,Good,High,Buford
500,Unpopulated,76,265,3652,No,Bad,High,Buford
501,Populated ,53,153,4951,yes,Good,Low,Buford
502,Unpopulated,69,364,6825,No,Bad,High,Buford
503,Populated,41,494,2745,No,Good,Low,Philadelphia
